Large Problem, C = 3V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,300,2642,6073,2028,7153,-1,-1
163,489,2808,7591,1882,5452,-1,-1
226,678,3978,11206,2486,7340,-1,-1
289,867,3969,10952,2633,6910,-1,-1
352,1056,6007,21213,3481,10910,-1,-1
415,1245,4642,15644,3813,10576,-1,-1
478,1434,5344,17431,3598,12692,-1,-1
541,1623,5841,20301,4378,14542,-1,-1
604,1812,5441,15295,4495,14095,-1,-1
667,2001,6524,15432,5188,16704,-1,-1
730,2190,6777,25344,7323,28151,-1,-1
793,2379,8084,37452,5071,19110,-1,-1
856,2568,8094,22750,7421,33541,-1,-1
919,2757,7313,32281,5090,17493,-1,-1
982,2946,10912,41981,6963,38460,-1,-1
1045,3135,9557,40360,6495,25265,-1,-1
1108,3324,8094,33453,8357,32285,-1,-1
1171,3513,11800,48688,6387,31303,-1,-1
1234,3702,11731,42931,8991,38632,-1,-1
1297,3891,10629,47838,7635,30863,-1,-1
1360,4080,8562,35637,6319,27660,-1,-1
1423,4269,15193,70638,9293,44500,-1,-1
1486,4458,10629,56501,10249,44405,-1,-1
1549,4647,10717,47231,10717,43239,-1,-1
1612,4836,10815,55743,10854,34967,-1,-1
1675,5025,11819,40910,12804,58496,-1,-1
1738,5214,12473,44455,8289,32190,-1,-1
1801,5403,13643,68740,12317,46737,-1,-1
1864,5592,10903,58112,10532,50016,-1,-1
1927,5781,13301,53726,9225,40400,-1,-1
1990,5970,11185,66015,19114,83208,-1,-1
