Large Problem, C = 5V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,500,2233,4761,1628,5011,-1,-1
163,815,3091,6033,2106,5973,-1,-1
226,1130,3325,8683,2613,6959,-1,-1
289,1445,3842,9044,2506,5622,-1,-1
352,1760,3754,9353,2759,6893,-1,-1
415,2075,3852,8679,3032,9069,-1,-1
478,2390,4281,10190,2993,6820,-1,-1
541,2705,4095,14122,3656,11199,-1,-1
604,3020,4788,15643,3930,11366,-1,-1
667,3335,5860,20668,3793,11750,-1,-1
730,3650,5207,14191,3891,11392,-1,-1
793,3965,5080,17225,3861,15159,-1,-1
856,4280,4466,12097,4739,16015,-1,-1
919,4595,4651,11734,3676,14053,-1,-1
982,4910,7011,22919,5334,16749,-1,-1
1045,5225,7772,26934,5539,18682,-1,-1
1108,5540,6426,16910,5295,19597,-1,-1
1171,5855,6670,19727,5041,18686,-1,-1
1234,6170,7616,22101,5968,25942,-1,-1
1297,6485,7168,30977,5090,17282,-1,-1
1360,6800,7694,25636,6885,19776,-1,-1
1423,7115,6582,28406,6095,22521,-1,-1
1486,7430,7596,22713,5724,21632,-1,-1
1549,7745,8386,32718,5880,22997,-1,-1
1612,8060,6768,21716,5705,20736,-1,-1
1675,8375,8230,25913,6962,32103,-1,-1
1738,8690,8231,29875,6904,27537,-1,-1
1801,9005,8562,24372,6816,32888,-1,-1
1864,9320,9615,41294,7343,26946,-1,-1
1927,9635,10327,39053,7840,24212,-1,-1
1990,9950,10512,35105,7723,35055,-1,-1
