Small Problem, C = 2V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,20,250885,4108046,22478,274191,8,0
16,32,477068,8648614,30816,410711,10,0
22,44,457417,7303387,44489,615836,14,0
28,56,1533798,26473772,65895,832387,16,0
34,68,1324301,24162288,65398,1056627,19,0
40,80,1368684,26314138,22790,366073,-1,-1
46,92,878752,25892993,31421,907166,24,0
52,104,1481254,20832136,92246,1483178,28,0
58,116,1195757,28996581,65183,1320940,23,0
64,128,1853456,33889641,71405,1400669,36,0
70,140,1026410,21051248,64979,1473645,31,0
76,152,1575665,36126685,36950,749503,-1,-1
82,164,1841364,38111079,130767,2688543,47,0
88,176,737989,21728570,78524,2288477,50,0
94,188,1228,3569,789,2271,-1,-1
100,200,991771,29213762,22634,637287,-1,-1
106,212,1248,2548,897,3229,-1,-1
112,224,1579,5210,975,3050,-1,-1
118,236,1196235,35238361,125676,3673607,67,0
124,248,1384,3923,1131,3479,-1,-1
130,260,2093907,61714390,26116,738488,-1,-1
136,272,1560,3494,1423,5213,-1,-1
142,284,1540108,45383832,147024,4303864,69,0
148,296,2266180,66788866,166246,4867548,79,0
154,308,6011791,124253879,358725,7332975,85,0
160,320,1218071,35867828,221424,6489412,92,0
166,332,1583515,46654635,227762,6680847,89,0
172,344,3954610,81857020,390751,8062248,84,0
178,356,2416003,71203852,49472,1419968,-1,-1
184,368,2184,5891,1443,4074,-1,-1
190,380,3641203,107328372,243551,7136435,81,0
196,392,2447,7027,1726,5255,-1,-1
202,404,2077,4539,1423,4069,-1,-1
208,416,2740,12172,1540,3722,-1,-1
