Large Problem, C = 4V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,400,2418,5550,1735,5232,-1,-1
163,652,3013,6235,1814,4558,-1,-1
226,904,3149,8545,2106,5463,-1,-1
289,1156,3891,10160,2584,7708,-1,-1
352,1408,4173,13110,3023,8602,-1,-1
415,1660,4495,16149,3228,9864,-1,-1
478,1912,4066,11265,4027,13550,-1,-1
541,2164,4252,12431,3725,9755,-1,-1
604,2416,5402,20111,4310,11955,-1,-1
667,2668,5012,18198,3793,13929,-1,-1
730,2920,6582,22849,4973,17510,-1,-1
793,3172,7753,24748,5753,16374,-1,-1
856,3424,6738,27214,5266,16504,-1,-1
919,3676,6631,21531,5031,20067,-1,-1
982,3928,8338,25591,5656,22411,-1,-1
1045,4180,9303,35189,7558,34978,-1,-1
1108,4432,8055,32080,5978,23763,-1,-1
1171,4684,9235,25906,7460,27618,-1,-1
1234,4936,7626,24484,9069,31620,-1,-1
1297,5188,9293,35519,8113,26688,-1,-1
1360,5440,8445,27326,6650,25751,-1,-1
1423,5692,9167,26668,7821,37364,-1,-1
1486,5944,10152,34762,8308,33540,-1,-1
1549,6196,9488,40295,7558,22243,-1,-1
1612,6448,9927,27329,7723,24889,-1,-1
1675,6700,9293,38920,9527,43962,-1,-1
1738,6952,12190,49833,8630,27500,-1,-1
1801,7204,12726,65307,9011,35905,-1,-1
1864,7456,12063,54807,8864,38343,-1,-1
1927,7708,9186,36722,8133,41394,-1,-1
1990,7960,11605,52324,8640,30510,-1,-1
