Small Problem, C = 4V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,40,419,795,399,876,-1,-1
16,64,497,938,428,799,-1,-1
22,88,536,1101,487,955,-1,-1
28,112,623,1290,506,1304,-1,-1
34,136,682,1330,565,1165,-1,-1
40,160,789,1500,546,1355,-1,-1
46,184,819,1514,575,1628,-1,-1
52,208,867,1826,633,1709,-1,-1
58,232,828,1987,643,1570,-1,-1
64,256,1160,2168,731,1743,-1,-1
70,280,1111,2390,741,2403,-1,-1
76,304,1189,2226,906,2529,-1,-1
82,328,1062,2283,828,2415,-1,-1
88,352,1082,2749,916,2641,-1,-1
94,376,1345,2398,984,2566,-1,-1
100,400,1306,3004,955,2679,-1,-1
106,424,1501,4005,1043,3693,-1,-1
112,448,1550,3862,985,3546,-1,-1
118,472,1716,4314,1131,3740,-1,-1
124,496,1921,4171,1287,4024,-1,-1
130,520,1891,4233,1277,4000,-1,-1
136,544,1813,4577,1101,3983,-1,-1
142,568,1872,4448,1248,3768,-1,-1
148,592,2213,5638,1335,4004,-1,-1
154,616,2467,4837,1530,3503,-1,-1
160,640,2623,5650,1472,3936,-1,-1
166,664,2281,5572,1394,4488,-1,-1
172,688,2330,4708,1374,5018,-1,-1
178,712,2252,4845,1492,4613,-1,-1
184,736,2555,6515,1492,4307,-1,-1
190,760,2135,4077,1560,4306,-1,-1
196,784,2798,5787,1579,4524,-1,-1
202,808,2720,5674,1472,5142,-1,-1
208,832,2789,6525,1599,4731,-1,-1
