Small Problem, C = 5V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,50,458,895,399,772,-1,-1
16,80,594,1401,458,1146,-1,-1
22,110,653,1218,487,1194,-1,-1
28,140,672,1251,497,1026,-1,-1
34,170,721,1290,516,1351,-1,-1
40,200,789,1555,546,1290,-1,-1
46,230,906,1819,672,1609,-1,-1
52,260,858,1751,643,1570,-1,-1
58,290,916,2218,692,2046,-1,-1
64,320,1326,3479,828,2778,-1,-1
70,350,1170,2806,780,2240,-1,-1
76,380,1189,2614,819,2244,-1,-1
82,410,1306,2609,877,2836,-1,-1
88,440,1355,3081,907,3022,-1,-1
94,470,1238,2703,1014,2767,-1,-1
100,500,1501,3600,1092,3230,-1,-1
106,530,1413,3363,1082,3586,-1,-1
112,560,1589,3250,1209,4353,-1,-1
118,590,1609,4027,1150,3484,-1,-1
124,620,1706,4301,1189,3812,-1,-1
130,650,1774,3384,1199,3954,-1,-1
136,680,1960,3390,1199,3997,-1,-1
142,710,2067,4606,1365,4326,-1,-1
148,740,2047,3558,1199,3639,-1,-1
154,770,2096,3560,1287,3917,-1,-1
160,800,2028,4217,1267,3344,-1,-1
166,830,2496,6969,1326,3328,-1,-1
172,860,2164,3299,1482,4805,-1,-1
178,890,2184,5245,1306,3328,-1,-1
184,920,2467,5546,1443,4073,-1,-1
190,950,2418,5132,1345,4543,-1,-1
196,980,2467,6201,1453,4106,-1,-1
202,1010,2828,6169,1501,4233,-1,-1
208,1040,2545,4881,1501,4432,-1,-1
