Huge Problems 3 (Alg2 only) (problems without solution only, ALG2_ONLY)
VariableCount,ConstraintCount,MaxSummand
75000,50000,50
ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
464888,178535,331274,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1178165,178360,331020,-1,-1,-1,-1,-1,-1,-1,[-1=1]
16118233413,178874,331593,173885,320026,50330,95340,39172,2,1,[1=50328/2=1]
1724679,178529,331014,-1,-1,-1,-1,-1,-1,-1,[-1=1]
15112492675,178508,331527,173490,319961,-1,-1,-1,-1,-1,[-1=1]
17068715080,178467,330895,173399,319213,50267,95198,49375,6,1,[1=50261/6=1]
17600231654,178157,331391,173011,319391,49959,94812,47744,4,1,[1=49953/2=1/4=1]
1001455,178550,331201,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2024560,178694,331480,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1208884,178602,331498,-1,-1,-1,-1,-1,-1,-1,[-1=1]
618485,178582,331408,-1,-1,-1,-1,-1,-1,-1,[-1=1]
389991,178745,332080,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2229941,178406,331065,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2106479,178615,331690,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1110289,178494,330772,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2238719,178316,330736,-1,-1,-1,-1,-1,-1,-1,[-1=1]
178466,178602,331518,-1,-1,-1,-1,-1,-1,-1,[-1=1]
272086,178444,331091,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1311283,178653,331154,-1,-1,-1,-1,-1,-1,-1,[-1=1]
931531,178416,330878,-1,-1,-1,-1,-1,-1,-1,[-1=1]
758332,178402,330913,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1903730,178472,330824,-1,-1,-1,-1,-1,-1,-1,[-1=1]
