Massive Problems 1 (Alg2 only) (problems with solution only, ALG2_ONLY)
VariableCount,ConstraintCount,MaxSummand
150000,100000,50
ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
71956250199,357245,662674,347247,639649,100592,190592,100592,1,1,[1=100592]
74680431430,357054,662969,346930,639517,100351,190225,100351,1,1,[1=100351]
68174796162,356905,662465,346981,639627,100446,190521,100447,2,1,[1=100444/2=1]
66975422079,357381,664094,347316,640876,100422,190355,100423,2,1,[1=100420/2=1]
64732743481,357054,662814,347131,639956,100590,190664,100590,1,1,[1=100590]
