Large Problem, C = 4V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,400,1824,4643,1404,4200,-1,-1
163,652,2976,8573,1814,4712,-1,-1
226,904,3184,7936,1891,6870,-1,-1
289,1156,3694,9932,2230,5944,-1,-1
352,1408,3245,8755,2262,6525,-1,-1
415,1660,3772,12872,2261,7771,-1,-1
478,1912,3762,9245,2241,7552,-1,-1
541,2164,3566,11207,2830,9757,-1,-1
604,2416,5762,18261,2942,6964,-1,-1
667,2668,5519,18051,3443,11506,-1,-1
730,2920,4984,13051,3599,11836,-1,-1
793,3172,5681,19031,3921,13582,-1,-1
856,3424,4972,16355,3596,10247,-1,-1
919,3676,5245,15984,5410,22157,-1,-1
982,3928,5899,17452,4658,15115,-1,-1
1045,4180,6988,28183,4393,16852,-1,-1
1108,4432,7934,27973,5167,20597,-1,-1
1171,4684,7839,33556,5184,20628,-1,-1
1234,4936,6365,23150,4657,13812,-1,-1
1297,5188,8101,28671,5302,22487,-1,-1
1360,5440,8567,29417,6782,26290,-1,-1
1423,5692,7912,31733,7088,28792,-1,-1
1486,5944,7663,23150,5579,23916,-1,-1
1549,6196,8500,23740,6279,28240,-1,-1
1612,6448,9826,30481,6981,27679,-1,-1
1675,6700,10716,39081,7438,34931,-1,-1
1738,6952,10646,41590,7564,26706,-1,-1
1801,7204,11775,51040,7897,26578,-1,-1
1864,7456,10227,34446,6523,28426,-1,-1
1927,7708,8754,27045,7870,33250,-1,-1
1990,7960,8414,33692,8295,40853,-1,-1
