Huge Problems 2 (Alg2 only) (problems with solution only, ALG2_ONLY)
VariableCount,ConstraintCount,MaxSummand
75000,25000,50
ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
4481598595,100990,164504,98555,158916,34029,56593,34029,1,1,[1=34029]
5649251162,100521,163995,98053,158334,33795,56326,33795,1,1,[1=33795]
5572959195,100775,164127,98328,158507,34011,56563,34012,2,1,[1=34009/2=1]
5251376599,101068,164240,98620,158633,34083,56634,34083,1,1,[1=34083]
6234794518,100809,163971,98200,157971,33921,56311,33921,1,1,[1=33921]
5310254132,100730,164172,98185,158315,33904,56357,33904,1,1,[1=33904]
5564225795,100596,163801,98053,157942,33915,56371,33915,1,1,[1=33915]
5798851793,101169,164364,98656,158584,34122,56607,34122,1,1,[1=34122]
5784368292,100688,164097,98130,158225,33843,56284,33843,1,1,[1=33843]
5594717069,100781,163695,98386,158207,34240,56844,34241,2,1,[1=34238/2=1]
4838927253,100725,164053,98248,158355,33960,56482,33960,1,1,[1=33960]
5782907508,100764,163792,98291,158151,34110,56636,34110,1,1,[1=34110]
5670122559,100885,164508,98412,158811,33944,56470,33944,1,1,[1=33944]
5917394157,101180,164594,98641,158737,34083,56543,34083,1,1,[1=34083]
5938405109,101050,164538,98469,158612,33963,56381,33963,1,1,[1=33963]
6109202765,100668,164084,98206,158428,33922,56459,33922,1,1,[1=33922]
5634228459,100561,163572,97995,157654,33925,56356,33925,1,1,[1=33925]
5805950333,100571,163661,98063,157911,33959,56448,33959,1,1,[1=33959]
5655594294,100805,163736,98355,158120,34139,56688,34139,1,1,[1=34139]
6151298396,100774,164055,98257,158241,33922,56404,33922,1,1,[1=33922]
5738417221,100697,164058,98141,158193,33857,56299,33857,1,1,[1=33857]
5776750447,100865,164233,98292,158291,33898,56324,33898,1,1,[1=33898]
5699375108,101076,164310,98655,158688,34238,56815,34238,1,1,[1=34238]
5750483832,100782,163968,98302,158316,34016,56534,34016,1,1,[1=34016]
5777257757,100811,163874,98316,158157,34053,56557,34053,1,1,[1=34053]
4673985606,100916,164274,98439,158523,34072,56594,34072,1,1,[1=34072]
6030908767,100883,164212,98353,158385,33956,56425,33956,1,1,[1=33956]
5729505940,100934,164311,98507,158682,34107,56679,34107,1,1,[1=34107]
5630757452,101065,164681,98558,158911,33942,56434,33942,1,1,[1=33942]
5844662725,100858,163917,98363,158130,34148,56652,34148,1,1,[1=34148]
5872039630,100936,164111,98463,158377,34079,56605,34079,2,1,[1=34077/2=1]
5782105583,100903,164043,98347,158202,34089,56532,34089,1,1,[1=34089]
5687434593,100792,164037,98385,158483,34069,56661,34069,1,1,[1=34069]
5525353954,100616,163726,98167,158084,34011,56561,34011,1,1,[1=34011]
5515208628,100513,163518,97961,157664,33957,56404,33957,1,1,[1=33957]
5783633072,100674,163758,98264,158196,34030,56619,34030,1,1,[1=34030]
5902670166,100780,163750,98307,158059,34101,56627,34101,1,1,[1=34101]
