Small Problem, C = 3V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,30,50559,1474779,8575,238244,5,2
16,48,640,1354,500,1150,-1,-1
22,66,807,2319,619,1661,-1,-1
28,84,740,1586,719,1693,-1,-1
34,102,808,1571,669,1772,-1,-1
40,120,886,2374,740,1415,-1,-1
46,138,1021,2705,857,2169,-1,-1
52,156,945,2186,797,2255,-1,-1
58,174,739,1741,669,1773,-1,-1
64,192,1111,2958,815,2778,-1,-1
70,210,1297,2736,1187,3709,-1,-1
76,228,1559,3689,1284,3354,-1,-1
82,246,1754,5543,1294,3831,-1,-1
88,264,1207,3208,1012,2508,-1,-1
94,282,1718,4020,1352,4595,-1,-1
100,300,2165,6090,1529,4824,-1,-1
106,318,2144,6716,1510,4615,-1,-1
112,336,1305,2919,1120,2947,-1,-1
118,354,2397,5129,1636,5449,-1,-1
124,372,3033,6032,1727,5503,-1,-1
130,390,2270,6015,1521,3962,-1,-1
136,408,2454,5045,1752,5159,-1,-1
142,426,2563,6625,1680,5079,-1,-1
148,444,2152,5404,1519,4601,-1,-1
154,462,2872,7387,1861,6256,-1,-1
160,480,2641,7504,1579,4712,-1,-1
166,498,2983,7234,2116,6301,-1,-1
172,516,2634,6978,1713,4884,-1,-1
178,534,2904,5829,1861,6228,-1,-1
184,552,2805,6377,1902,6063,-1,-1
190,570,2562,5798,1735,4973,-1,-1
196,588,2922,7267,1869,5229,-1,-1
202,606,3124,5894,2104,6271,-1,-1
208,624,3683,11973,1754,5386,-1,-1
