Large Problem, C = 2V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,200,721570,21239270,124291,3632729,58,3
163,326,2951,8890,1803,5448,-1,-1
226,452,3634,9221,2300,6546,-1,-1
289,578,4163,12732,2319,7465,-1,-1
352,704,4111,11749,2281,6530,-1,-1
415,830,4864,15702,3003,12267,-1,-1
478,956,4552,12662,2963,12021,-1,-1
541,1082,4793,12067,3323,14372,-1,-1
604,1208,5055,16217,3168,11419,-1,-1
667,1334,29479978,869366102,5219216,153846363,382,3
730,1460,5760,18838,4112,14388,-1,-1
793,1586,5703,18686,3812,12898,-1,-1
856,1712,9212,63588,5489,22538,-1,-1
919,1838,6950,27820,4658,14572,-1,-1
982,1964,7000,28510,3500,14091,-1,-1
1045,2090,6844,23517,6366,20714,-1,-1
1108,2216,8248,39716,4570,14033,-1,-1
1171,2342,74303325,2191389949,1073348,31496863,-1,-1
1234,2468,8512,32940,5828,24343,-1,-1
1297,2594,10108,50706,6615,27710,-1,-1
1360,2720,10996,79033,10190,41143,-1,-1
1423,2846,10121,40286,7388,31103,-1,-1
1486,2972,11981,64071,10570,53925,-1,-1
1549,3098,13181,59587,7261,31639,-1,-1
1612,3224,8557,37724,7810,41335,-1,-1
1675,3350,12244,46169,7992,23992,-1,-1
1738,3476,11797,65428,12227,60802,-1,-1
1801,3602,11642,42674,10102,40426,-1,-1
1864,3728,12871,51321,6102,20684,-1,-1
1927,3854,197168379,0,50086617,1477112083,1020,3
1990,3980,12254,44889,8101,31962,-1,-1
